"School.Name","Principal","Grades","Division.Schools","Street.Adress.and.Phone.Number","Phone.Number","City","Zip","State"
"Clearview Early Learning Center","Mrs. Sheilah W. Williams","06-08","Martinsville Public Schools","800 Ainsley Street","276-403-5800","Martinsville","24112","VA"
"Clearview Elementary","Ms. Stephanie P. Almquist","09-12","Fairfax County Public Schools","12635 Builders Rd","703-708-6000","Herndon","20170-2999","VA"
"Clermont Elementary","Roxanne Salata","09-12","Fairfax County Public Schools","5720 Clermont Dr","703-921-2400","Alexandria","22310","VA"
"Clifton Middle","George Marty Wood","09-12","Alleghany County Public Schools","100 Sharon School Circle","540-863-1726","Clifton Forge","24422","VA"
"Clintwood Elementary","Mr. Tony A. Robinson","03-05","Dickenson County Public Schools","150 Elementary Circle","276-926-6088","Clintwood","24228-0585","VA"
"Clover Hill High","John Phillips","07-08","Chesterfield County Public Schools","13301 Kelly Green Lane","804-739-6230","Midlothian","23112-2004","VA"
"Cloverdale Elementary","Ms. Jessica L. Martin","06-08","Botetourt County Public Schools","833 Cougar Drive","540-992-1086","Cloverdale","24077","VA"
"Cluster Springs Elementary","Mrs. Kacey W. Whitt","09-12","Halifax County Public Schools","7091 Huell Matthews Hwy.","434-517-2600","Alton","24520","VA"
"Coates Elementary","Paul Basdekis","03-05","Fairfax County Public Schools","2480 River Birch Rd.","703-713-3000","Herndon","20171","VA"
"Coeburn Middle","Mrs. Deidre Church","09-12","Wise County Public Schools","518 Centre Ave NE","276-395-2135","Coeburn","24230","VA"
"Coeburn Primary","Mrs. Carmon Arquette","09-12","Wise County Public Schools","332 School House Hill Dr.","276-395-6100","Coeburn","24230","VA"
"Cold Harbor Elementary","Dr. Cheryl E. Fisher","06-08","Hanover County Public Schools","6740 Cold Harbor Road","804-723-3620","Mechanicsville","23111","VA"
"Coleman Place Elementary","Dr. Pamela Tatem","09-12","Norfolk Public Schools","2445 Palmyra St.","757-852-4641","Norfolk","23513","VA"
"Coles Elementary","Ms. Kathryn Forgas","06-08","Prince William County Public Schools","7405 Hoadly Rd","703-791-3141","Manassas","20112","VA"
"College Park Elementary","Ms. Meishe K. Thirus","09-12","Virginia Beach Public Schools","1110 Bennington Rd","757-648-2280","Virginia Beach","23464-3764","VA"
"Colonel Fred Cherry Middle","Dr. Jamel Gibson","09-12","Suffolk Public Schools","7401 Burbage Drive","757-925-6752","SUFFOLK","23435","VA"
"Colonial Beach Elementary","Mrs. Michele Coates","06-08","Colonial Beach Public Schools","102 First Street","804-224-9897","Colonial Beach","22443","VA"
"Colonial Beach High","Dr. Jason Sears","05-08","Colonial Beach Public Schools","100 First St.","804-224-7166","Colonial Beach","22443","VA"
"Colonial Elementary","Ms. Tammy M. Riggs","06-08","Botetourt County Public Schools","142 Murray Drive","540-977-6773","Troutville","24675","VA"
"Colonial Forge High","Mr. Gregory O. Daniel","09-12","Stafford County Public Schools","550 Courthouse Rd","540-658-6115","Stafford","22554","VA"
"Colonial Heights High","Kristin Janssen","09-12","Colonial Heights Public Schools","3600 Conduit Rd","804-524-3405","Colonial Heights","23834-3798","VA"
"Colonial Heights Middle","Nicholas LeReche","09-12","Colonial Heights Public Schools","500 Conduit Rd","804-524-3420","Colonial Heights","23834-3798","VA"
"Colonial Trail Elementary","Kevin T. Schatz","06-08","Henrico County Public Schools","12101 Bacova Drive","804-364-0055","Glen Allen","23059","VA"
"Columbia Elementary","Michael Astudillo","09-12","Fairfax County Public Schools","6720 Alpine Dr","703-916-2500","Annandale","22003","VA"
"Colvin Run Elementary","Kenneth Junge","05-07","Fairfax County Public Schools","1400 Trap Rd.","703-757-3000","Vienna","22182","VA"
"Community Lab School","Chad Ratliff","06-08","Albemarle County Public Schools","1200 Forest Street","434-296-3090","Charlottesville","22903-5262","VA"
"Concord Elementary","Mrs. Whitney Rinella","PK-5","Campbell County Public Schools","9339 Village Hwy","434-993-2257","Concord","24538","VA"
"Conway Elementary","Mr. William S. Raybold","PK-5","Stafford County Public Schools","105 Primmer House Road","540-361-1455","Fredericksburg","22405","VA"
"Cool Spring Elementary","Dr. Paula P. Brown","PK-5","Hanover County Public Schools","9964 Honey Meadows Rd","804-723-3560","Mechanicsville","23116","VA"
"Cool Spring Elementary","Chris Cadwell","PK-5","Loudoun County Public Schools","501 Tavistock Dr SE","571-252-2890","Leesburg","20175","VA"
"Cool Spring Elementary","Mrs. Jennifer Kelley","KG-5","Petersburg Public Schools","1450 Talley Avenue","804-862-7002","Petersburg","23803","VA"
"Cool Spring Primary","Tiffany Quicke","PK-2","King William County Public Schools","7301 Acquinton Church Rd.","804-769-3434","King William","23086","VA"
"Cooper Middle","Lisa Barrow","06-08","Fairfax County Public Schools","977 Balls Hill Rd","703-442-5800","McLean","22101","VA"
"Cople Elementary","Ms. Leslie Steele","06-08","Westmoreland County Public Schools","7114 Cople Highway","804-472-2081","Hague","22469","VA"
"Copper Creek Elementary","Mrs. Paula Banner","09-12","Russell County Public Schools","23894 U.S. highway 58","276-794-9306","Castlewood","24224","VA"
"Cora Kelly School for Math Science and Technology","Jasibi Crews","06-08","Alexandria Public Schools","3600 Commonwealth Ave","703-706-4420","Alexandria","22305","VA"
"Corporate Landing Elementary","Jennifer E. Haws","07-08","Virginia Beach Public Schools","1590 Corporate Landing Pkwy","757-648-2360","Virginia Beach","23454-5604","VA"
"Corporate Landing Middle","Mr. Robert V. Yoshida","09-12","Virginia Beach Public Schools","1597 Corporate Landing Pkwy","757-648-4500","Virginia Beach","23454","VA"
"Cosby High","Ben Snyder","09-12","Chesterfield County Public Schools","14300 Fox Club Parkway","804-639-8340","Midlothian","23112","VA"
"Cougar Elementary","Desiree Tickle","06-08","Manassas Park Public Schools","9330 Brandon St.","703-392-1317","Manassas Park","20111","VA"
"Council Elementary/Middle","Mrs. Joan Hart","09-12","Buchanan County Public Schools","7608 Helen Henderson Hwy","276-859-9329","Honaker","24260","VA"
"Council High","Dr. Kathy Witt","09-12","Buchanan County Public Schools","7802 Helen Henderson Hwy","276-859-2627","Honaker","24620","VA"
"Countryside Elementary","Richard Rudnick","08-12","Loudoun County Public Schools","20624 Countryside Blvd.","571-434-3250","Sterling","20165","VA"
"Courthouse Road Elementary","Marcie Fields","09-12","Spotsylvania County Public Schools","9911 Courthouse Rd","540-891-0400","Spotsylvania","22553","VA"
"Courtland Elementary","Katie Simitoski","09-12","Spotsylvania County Public Schools","6601 Smith Station Rd","540-898-5422","Spotsylvania","22553","VA"
"Courtland High","Clifton Conway","09-12","Spotsylvania County Public Schools","6701 Smith Station Rd","540-898-4445","Spotsylvania","22553","VA"
"Coventry Elementary","Mr. Brian Fries","05-08","York County Public Schools","200 Owen Davis Blvd","757-898-0403","Yorktown","23693","VA"
"Covington High","Derek Cantrell","07-08","Covington Public Schools","606 S. Lexington Avenue","540-965-1410","Covington","24426","VA"
"Covington-Harper Elementary","Ivania Sieiro","08-12","Prince William County Public Schools","2500 River Heritage Blvd.","571-466-4500","Dumfries","22026","VA"
"Cradock Elementary","Mrs. Lakesia Jolley-Foster","06-08","Portsmouth Public Schools","18 Dahlgren Ave","757-558-2811","Portsmouth","23702-2820","VA"
"Cradock Middle","Dr. Damon Cary","06-08","Portsmouth Public Schools","21 Alden Ave","757-393-8788","Portsmouth","23702-2268","VA"
"Craigsville Elementary","Ms. Crystal J. Coffman","09-12","Augusta County Public Schools","100 East First St","540-997-9184","Craigsville","24430","VA"
"Creeds Elementary","Mr. Douglas Knapp","09-12","Virginia Beach Public Schools","920 Princess Anne Rd","757-648-2400","Virginia Beach","23457-1498","VA"
"Creekside Elementary","Tara Outland","06-08","Suffolk Public Schools","1000 Bennetts Creek Park Road","757-923-4251","Suffolk","23435","VA"
"Creighton's Corner Elementary","Mr. Christopher Knott","03-05","Loudoun County Public Schools","23171 Minerva Drive","703-957-4480","Ashburn","20148","VA"
"Crestview Elementary","Jenna W. Childress","06-08","Henrico County Public Schools","1901 Charles St","804-673-3775","Richmond","23226","VA"
"Crestwood Elementary","Lindsay Porzio","06-08","Chesterfield County Public Schools","7600 Whittington Dr.","804-560-2710","Richmond","23225-2137","VA"
"Crestwood Elementary","Marquerite Saitta","08-12","Fairfax County Public Schools","6010 Hanover Ave","703-923-5400","Springfield","22150","VA"
"Crestwood Intermediate","Dr. Tonita G. Phillips","03-06","Chesapeake Public Schools","1240 Great Bridge Blvd","757-494-7565","Chesapeake","23320","VA"
"Crestwood Middle","Mr. Michael R. Ward","06-08","Chesapeake Public Schools","1420 Great Bridge Blvd","757-494-7560","Chesapeake","23320","VA"
"Crewe Primary","Mr. Lloyd Page Jr.","06-12","Nottoway County Public Schools","1953 Sunnyside Rd","434-645-8149","Crewe","23930","VA"
"Crittenden Middle","Natia Smith","06-08","Newport News Public Schools","6158 Jefferson Ave","757-591-4900","Newport News","23605","VA"
"Critzer Elementary","Nancy Dillon","06-08","Pulaski County Public Schools","100 Critzer Dr","540-643-0274","Pulaski","24301","VA"
"Crossfield Elementary","Mark Granieri","06-08","Fairfax County Public Schools","2791 Fox Mill Rd","703-295-1100","Herndon","20171-2000","VA"
"Crossroads Elementary","Dr. Kristen Nichols","09-12","Norfolk Public Schools","8021 Old Ocean View Rd.","757-531-3050","Norfolk","23518","VA"
"Crozet Elementary","Gwedette Crummie","06-08","Albemarle County Public Schools","1407 Crozet Avenue","434-823-4800","Crozet","22932-3401","VA"
"Crystal Spring Elementary","Mr. Jason Rooney","09-12","Roanoke Public Schools","2620 Carolina Ave SW","540-853-2976","Roanoke","24014","VA"
"Cub Run Elementary","Natalie Lorenzi","09-12","Fairfax County Public Schools","5301 Sully Station Dr","703-633-7500","Centreville","20120-1367","VA"
"Cub Run Elementary","Mr. Kenny Boyers","09-12","Rockingham County Public Schools","1451 South Montevideo Circle","540-289-5854","Penn Laird","22846","VA"
"Culpeper County High","Dr. Daniel C Soderholm","06-08","Culpeper County Public Schools","14240 Achievement Drive","540-825-8310","Culpeper","22701","VA"
"Culpeper Middle","Mr. Jesse Blackburn","09-12","Culpeper County Public Schools","14300 Achievement Dr","540-825-4140","Culpeper","22701","VA"
"Cumberland Elementary","Mrs. Ginny Gills","09-12","Cumberland County Public Schools","60 School Rd","804-492-4212","Cumberland","23040","VA"
"Cumberland High","Mr. Eugene Williams","07-12","Cumberland County Public Schools","15 School Rd","804-492-4212","Cumberland","23040","VA"
"Cumberland Middle","Mr. Andrew Hoyt","09-12","Cumberland County Public Schools","16 School Road","804-492-4212","Cumberland","23040","VA"
"Cunningham Park Elementary","Katharine Le","06-08","Fairfax County Public Schools","1001 Park St SE","703-255-5600","Vienna","22180","VA"
"D.G. Cooley Elementary","Mary Tinsman","06-08","Clarke County Public Schools","240 Westwood Rd","540-955-6120","Berryville","22611","VA"
"D.J. Montague Elementary","Scott Holland","07-08","Williamsburg-James City County Public Schools","5380 Centerville Rd","757-258-3022","Williamsburg","23188","VA"
"Dale City Elementary","Ms. Cinthia Crowe-Miller","08-12","Prince William County Public Schools","14450 Brook Dr","703-670-2208","Woodbridge","22193","VA"
"Damascus Middle","Mr. Scott Keith","09-12","Washington County Public Schools","32101 Government Rd","276-739-4100","Damascus","24236","VA"
"Dan River High","Ms. Annastasia Broomell","06-08","Pittsylvania County Public Schools","100 Dan River Wildcat Cir","434-822-7081","Ringgold","24586","VA"
"Dan River Middle","Mr. Christopher E. Knick","06-08","Pittsylvania County Public Schools","5875 Kentuck Rd.","434-822-6027","Ringgold","24586","VA"
"Daniel Morgan Intermediate","Dr. Matthew Wygal","09-12","Winchester Public Schools","48 S. Purcell St.","540-667-7171","Winchester","22601","VA"
"Daniels Run Elementary","Christopher Smith","06-08","Fairfax County Public Schools","3705 Old Lee Hwy","703-279-8400","Fairfax","22030","VA"
"Dare Elementary","Dr. Susan Hutton","06-08","York County Public Schools","300 Dare Rd","757-898-0324","Yorktown","23692","VA"
"David A. Dutrow Elementary","Travis Humble","07-08","Newport News Public Schools","60 Curtis Tignor Rd","757-886-7760","Newport News","23608","VA"
"David A. Harrison Elementary","Christopher Scruggs","06-08","Prince George County Public Schools","12900 E Quaker Rd","804-991-2242","Disputanta","23842","VA"
"David A. Kaechele Elementary","Jennifer M. Rhoden","06-08","Henrico County Public Schools","5680 Pouncey Tract Road","804-364-8080","Glen Allen","23059","VA"
"Dearington Elementary/Innovation","Kelly Bivens","06-08","Lynchburg Public Schools","210 Smyth St","434-515-5220","Lynchburg","24501-1539","VA"
"Deep Creek Central Elementary","Dr. Daniel S. White","05-08","Chesapeake Public Schools","2448 Shipyard Rd","757-558-5356","Chesapeake","23323","VA"
"Deep Creek Elementary","Dr. Barry C. Brown","06-08","Chesapeake Public Schools","2809 Forehand Dr","757-558-5333","Chesapeake","23323","VA"
"Deep Creek High","Mr. Brian G. Haughinberry","06-08","Chesapeake Public Schools","2900 Margaret Booker Dr","757-558-5302","Chesapeake","23323","VA"
"Deep Creek Middle","Mr. John P. Cavanaugh","07-08","Chesapeake Public Schools","1955 Deal Dr","757-558-5321","Chesapeake","23323","VA"
"Deep Run High","Dr. Brian P. Fellows","09-12","Henrico County Public Schools","4801 Twin Hickory Rd.","804-364-8000","Glen Allen","23059","VA"
"Deer Park Elementary","Robert Damato","09-12","Fairfax County Public Schools","15109 Carlbern Dr","703-802-5000","Centreville","20120-1432","VA"
"Deer Park Elementary","Ms. Mary Jo Anastasio","06-08","Newport News Public Schools","11541 Jefferson Ave","757-591-7470","Newport News","23601","VA"
"Denbigh Early Childhood Center","Lauren Gray","05-08","Newport News Public Schools","15638 Warwick Blvd.","757-886-7789","Newport News","23608","VA"
"Denbigh High","Michelle Huffstetler","09-12","Newport News Public Schools","259 Denbigh Blvd","757-886-7700","Newport News","23608","VA"
"Diamond Springs Elementary","Brandon Lugo","06-08","Virginia Beach Public Schools","5225 Learning Circle","757-648-4240","Virginia Beach","23462","VA"
"Dinwiddie County High","Mr. Robbie Garnes","06-08","Dinwiddie County Public Schools","11501 Boisseau Road","804-469-4280","Dinwiddie","23841","VA"
"Dinwiddie County Middle","Mr. Jeffrey Walters","01-08","Dinwiddie County Public Schools","11608 Courthouse Road","804-469-5430","Dinwiddie","23841","VA"
"Dinwiddie Elementary","Mr. Davis Roberts Jr.","06-08","Dinwiddie County Public Schools","13811 Boydton Plank Rd","804-469-4580","Dinwiddie","23841","VA"
"Discovery Elementary","Dr. Erin Russo","03-06","Arlington County Public Schools","5241 36th Street North","703-288-2685","Arlington","22207","VA"
"Discovery Elementary","Christopher Painter","09-12","Loudoun County Public Schools","44020 Grace Bridge Drive","571-252-2370","Ashburn","20147","VA"
"Discovery STEM Academy","Ms. Christine Pilger","09-12","Newport News Public Schools","1712 Chestnut Ave","757-928-6838","Newport News","23607","VA"
"Dogwood Elementary","Kate Beckner","06-08","Fairfax County Public Schools","12300 Glade Dr","703-262-3100","Reston","20191","VA"
"Dominion High","Dr. W. John Brewer","09-12","Loudoun County Public Schools","21326 Augusta Dr.","571-434-4400","Sterling","20164","VA"
"Dominion Trail Elementary","Jeff Joseph","09-12","Loudoun County Public Schools","44045 Bruceton Mills Circle","571-252-2340","Ashburn","20147","VA"
"Donald B. Dixon-Lyle R. Smith Middle","Mr. Andrew M. Bathke","06-08","Stafford County Public Schools","503 Deacon Road","540-899-0860","Fredericksburg","22405","VA"
"Dorothy Hamm Middle","Ms. Ellen Smith","09-12","Arlington County Public Schools","4100 N Vacation Lane","703-228-2910","Arlington","22207","VA"
"Douglas Macarthur Elementary","Penny Hairston","09-12","Alexandria Public Schools","1101 Janneys Ln","703-461-4190","Alexandria","22302","VA"
"Douglas S. Freeman High","Dr. John P. Marshall","05-06","Henrico County Public Schools","8701 Three Chopt Rd","804-673-3700","Richmond","23229","VA"
"Douglass Park Elementary","Dr. Sherie M Davis","09-12","Portsmouth Public Schools","34 Grand St","757-393-8646","Portsmouth","23701-3012","VA"
"Dranesville Elementary","Jamie Gadley","06-08","Fairfax County Public Schools","1515 Powells Tavern Pl","703-326-5200","Herndon","20170-2832","VA"
"Drewry Mason Elementary","Mrs. Elizabeth S. Motley","06-08","Henry County Public Schools","45 Drewry Mason Drive","276-956-3154","Ridgeway","24148","VA"
"Dryden Elementary","Mrs. Mary Day","09-12","Lee County Public Schools","176 School House Ridge Road","276-546-4443","Dryden","24243","VA"
"Dublin Elementary","Elizabeth Webb","05-07","Pulaski County Public Schools","600 Dunlap St","540-643-0337","Dublin","24084","VA"
"Dudley Elementary","Dana Kelley","06-08","Franklin County Public Schools","7250 Brooks Mill Rd","540-721-2621","Wirtz","24184","VA"
"Dudley Primary","Mrs. Susan Maupin","06-08","Tazewell County Public Schools","1840 Tazewell Ave","276-326-1507","Bluefield","24605-1199","VA"
"Duffield-Pattonsville Primary","Mrs. Christy Miller","06-08","Scott County Public Schools","663 Duffield-Pattonsville Highway","Null","Null","Null","Null"
"Dumbarton Elementary","Carla S. Scott","09-12","Henrico County Public Schools","9000 Hungary Spring Rd","804-756-3030","Richmond","23228","VA"
"Dumfries Elementary","Starr Granby","09-12","Prince William County Public Schools","3990 Cameron St","703-221-3101","Dumfries","22026","VA"
"Dungannon Intermediate","Ms. Jennifer Meade","08-12","Scott County Public Schools","113 Fifth Avenue","Null","Null","Null","Null"
"Dupont Elementary","Mrs. Carla M. Fizer","06-08","Hopewell Public Schools","300 S. 18th Avenue","804-541-6406","Hopewell","23860","VA"
"E. Wilson Morrison Elementary","Ms. Lisa S. Rudacille","07-12","Warren County Public Schools","40 Crescent St","540-635-4188","Front Royal","22630","VA"
"E.B. Stanley Middle","Mr. Scott Allen","06-08","Washington County Public Schools","297 Stanley St","276-739-3300","Abingdon","24210","VA"
"E.C. Glass High","Rose Flaugher","08-12","Lynchburg Public Schools","2111 Memorial Ave","434-515-5370","Lynchburg","24501-5599","VA"
"E.H. Marsteller Middle","Lisa Warner","09-12","Prince William County Public Schools","14000 Sudley Manor Dr","703-393-7608","Bristow","20136","VA"
"Eagle Ridge Middle","Scott Phillips","06-08","Loudoun County Public Schools","42901 Waxpool Rd","571-252-2140","Ashburn","20148","VA"
"Eagle Rock Elementary","Ms. Sandy Gould","06-08","Botetourt County Public Schools","145 Eagles Nest Dr","540-884-2421","Eagle Rock","24085","VA"
"Eagle View Elementary","Kanchana Iyer","06-08","Fairfax County Public Schools","4500 Dixie Hill Road","703-322-3100","Fairfax","22030","VA"
"Early Childhood Center","Heidi Haggerty Wagner","09-12","Alexandria Public Schools","5651 Rayburn Avenue","703-824-6970","Alexandria","22311","VA"
"East Rockingham High","Marc Sweigart","09-12","Rockingham County Public Schools","250 Eagle Rock Road","540-298-7450","Elkton","22827","VA"
"East Salem Elementary","Mrs. Hunter Routt","09-12","Salem Public Schools","1765 Boulevard","540-375-7001","Salem","24153-6489","VA"
"Eastern Elementary/Middle","Mr. Jason D Mills","06-08","Giles County Public Schools","6899 Virginia Ave","540-626-7281","Pembroke","24136","VA"
"Eastern Montgomery Elementary","Marcie Murphy","06-08","Montgomery County Public Schools","4580 Eastern Montgomery Ln.","540-268-1147","Elliston","24087","VA"
"Eastern Montgomery High","Michael Todd Lewis","06-08","Montgomery County Public Schools","4695 Crozier Rd","540-268-3010","Elliston","24087","VA"
"Eastern View High","Mrs. Jennifer Talbot Brockman","09-12","Culpeper County Public Schools","16332 Cyclone Way","540-825-0621","Culpeper","22701","VA"
"Easton Preschool","Dr. Tami White","06-08","Norfolk Public Schools","6045 Curlew Dr","757-892-3290","Norfolk","23502","VA"
"Eastside High","Mr. Bryan Crutchfield","08-12","Wise County Public Schools","314 School House Hill Dr,","276-395-3389","Coeburn","24230","VA"
"Echo Lake Elementary","Cynthia E. Foust","06-08","Henrico County Public Schools","5200 Francistown Rd","804-527-4672","Glen Allen","23060","VA"
"Ecoff Elementary","Kristin Tait","06-08","Chesterfield County Public Schools","5200 Ecoff Ave.","804-768-6185","Chester","23831-1516","VA"
"Edgemont Primary","Mrs. Cynthia Morgan","09-12","Covington Public Schools","574 West Indian Valley Road","540-965-1420","Covington","24426","VA"
"Edison High","Pamela Brumfield","09-12","Fairfax County Public Schools","5801 Franconia Rd","703-924-8000","Alexandria","22310","VA"
"Edward E. Drew Jr. Middle","Ms. Amy L. Ivory","06-08","Stafford County Public Schools","501 Cambridge St","540-371-1415","Falmouth","22405","VA"
"Edward G. Clymore Elementary","Mrs. Fonda H. Morris","09-12","Augusta County Public Schools","184 Fort Defiance Rd","540-245-5043","Fort Defiance","24437","VA"
"Edward W. Wyatt Middle","Dr. Marcus Carey","06-12","Greensville County Public Schools","206 Slagles Lake Rd","434-634-5159","Emporia","23847-8007","VA"
"Edwin A. Gibson Elementary","Dr. Star Norton","03-05","Danville Public Schools","1215 Industrial Avenue","434-799-6426","Danville","24541","VA"
"Edwin W. Chittum Elementary","Mrs. Bridget C. Outlaw","07-08","Chesapeake Public Schools","2008 Dock Landing Rd","757-465-6300","Chesapeake","23321","VA"
"Elephant's Fork Elementary","Mrs. Dana Bilby","06-12","Suffolk Public Schools","2316 William Reid Dr","757-923-5250","Suffolk","23434","VA"
"Elizabeth D. Redd Elementary","Mrs. Sherry Wharton-Carey","09-12","Richmond Public Schools","5601 Jahnke Rd","804-780-5061","Richmond","23225-2829","VA"
"Elizabeth Davis Middle","Matthew Strittmatter","06-08","Chesterfield County Public Schools","601 Corvus Court","804-541-4700","Chester","23836","VA"
"Elizabeth Holladay Elementary","Brooke C. Thompson","09-12","Henrico County Public Schools","7300 Galaxie Rd","804-261-5040","Richmond","23228","VA"
"Elizabeth Scott Elementary","Julie Buntich","06-08","Chesterfield County Public Schools","813 Beginners Trail Loop","804-541-4660","Chester","23836","VA"
"Elizabeth Vaughan Elementary","Mark Boyd","PK-5","Prince William County Public Schools","2200 York Dr","703-494-3220","Woodbridge","22191","VA"
"Elk Knob Elementary","Mr. Brian Huff","PK-4","Lee County Public Schools","148 Hornet Loop","276-546-1837","Pennington Gap","24277","VA"
"Elko Middle","Dr. Herman S. Mizell","06-08","Henrico County Public Schools","5901 Elko Road","804-328-4110","Sandston","23150","VA"
"Elkton Elementary","Ms. Barbara Palmer","06-08","Rockingham County Public Schools","302 B Street","540-298-1511","Elkton","22827","VA"
"Elkton Middle","Ms. Emily Holloway","09-12","Rockingham County Public Schools","21063 Blue and Gold Dr","540-298-1228","Elkton","22827","VA"
"Ella J. Fitzgerald Middle","Dr. Micah Smith","06-08","Newport News Public Schools","432 Industrial Park Dr","757-888-3300","Newport News","23608","VA"
"Elmont Elementary","Amanda Sanders","06-08","Hanover County Public Schools","12007 Cedar Lane","804-365-8100","Ashland","23005","VA"
"Elon Elementary","Kimberly A Scott","07-08","Amherst County Public Schools","147 Younger Dr","434-528-6496","Madison Heights","24572","VA"
"Elydale Middle","Mrs. Nicole Ayers","09-12","Lee County Public Schools","128 Elydale Road","276-445-4439","Ewing","24248","VA"
"Emerald Hill Elementary","Dr. Victoria Gelbert","09-12","Culpeper County Public Schools","11245 Rixeyville Rd","540-937-7361","Culpeper","22701","VA"
"Emerick Elementary","Mrs. Dawn E. Haddock","06-08","Loudoun County Public Schools","440 S Nursery Ave","540-571-2440","Purcellville","20132","VA"
"Enderly Heights Elementary","Ms. Stephanie Tyree","09-12","Buena Vista Public Schools","101 Woodland Ave","540-261-6151","Buena Vista","24416","VA"
"Enon Elementary","Dr. Paula Huffman","08-12","Chesterfield County Public Schools","2001 E. Hundred Rd.","804-530-5720","Chester","23836-3503","VA"
"Enterprise Elementary","Ms. Kelly Nickerson","09-12","Prince William County Public Schools","13900 Lindendale Rd","703-590-1558","Woodbridge","22193","VA"
"Ervinton Elementary","Dwayne Edwards","09-12","Dickenson County Public Schools","195 Ervinton Circle","276-835-8423","Nora","24272-0519","VA"
"Escuela Key Elementary","Ms. Marleny Perdomo","09-12","Arlington County Public Schools","855 N. Edison Street","703-228-4210","Arlington","22205","VA"
"Essex High","Mr. Damean Barfield","09-12","Essex County Public Schools","833 High School Circle","804-443-4301","Tappahannock","22560","VA"
"Ethel M. Gildersleeve Middle","Ms. Janelle Spitz","05-08","Newport News Public Schools","1 Minton Dr","757-591-4862","Newport News","23606","VA"
"Ettrick Elementary","Dr. Randi Smith","06-08","Chesterfield County Public Schools","20910 Chesterfield Ave.","804-520-6005","Ettrick","23803-1904","VA"
"Eureka Elementary","Mr. W. Brian Hamilton","06-08","Charlotte County Public Schools","315 Eureka School Rd","434-736-8458","Keysville","23947","VA"
"Evendale Elementary","Dr. Michael Daddario","06-08","Frederick County Public Schools","220 Rosa Lane","540-662-0531","Winchester","22602","VA"
"Evergreen Elementary","Matthew Maher","06-08","Chesterfield County Public Schools","1701 Evergreen East Pkwy.","804-378-2400","Midlothian","23114","VA"
"Evergreen Mill Elementary","Daniel Lani","08-12","Loudoun County Public Schools","491 Evergreen Mill Rd SE","571-252-2900","Leesburg","20175","VA"
"F.W. Kling Jr. Elementary","Dr. Lisa Clark","08-12","Buena Vista Public Schools","3400 Lombardy Ave","540-261-6717","Buena Vista","24416","VA"
"Fair Oaks Elementary","Shaundell Edwards-Hamlin","06-08","Henrico County Public Schools","201 Jennings Rd","804-328-4085","Highland Springs","23075","VA"
"Fairfax High","Maureen Keck","09-12","Fairfax County Public Schools","3501 Lion Run","703-219-2200","Fairfax","22030","VA"
"Fairfax Villa Elementary","Dave Gerstner","06-08","Fairfax County Public Schools","10900 Santa Clara Dr","703-267-2800","Fairfax","22030","VA"
"Fairfield Court Elementary","Angela Wright","06-08","Richmond Public Schools","2510 Phaup St","804-780-4639","Richmond","23223-4199","VA"
"Fairfield Elementary","Ms. Lauren Fauber","09-12","Rockbridge County Public Schools","20 Fairfield School Rd","540-348-5202","Fairfield","24435","VA"
"Fairfield Elementary","Ms. Lori Gross","06-08","Virginia Beach Public Schools","5428 Providence Rd","757-648-2480","Virginia Beach","23464","VA"
"Fairfield Middle","Gena S. Jones","09-11","Henrico County Public Schools","5121 Nine Mile Rd","804-328-4020","Richmond","23223","VA"
"Fairhill Elementary","Edward G Cooper","09-12","Fairfax County Public Schools","3001 Chichester Ln","703-208-8100","Fairfax","22031","VA"
"Fairview Elementary","Mrs. Tonya Lawrence","06-08","Grayson County Public Schools","2323 Fairview Rd","276-236-2365","Galax","24333","VA"
"Fairview Elementary","Ms. April Plympton","09-12","Roanoke Public Schools","648 Westwood Blvd NW","540-853-2978","Roanoke","24017","VA"
"Falling Branch Elementary","Ms. Julie Vanidestine","07-08","Montgomery County Public Schools","735 Falling Branch Rd","540-381-6145","Christiansburg","24073","VA"
"Falling Creek Elementary","Pam Johnson","06-08","Chesterfield County Public Schools","4800 Hopkins Rd.","804-743-3630","Richmond","23234-3659","VA"
"Falling Creek Middle","Sheryl Doswell","09-12","Chesterfield County Public Schools","4724 Hopkins Rd.","804-743-3640","North Chesterfield","23234-3657","VA"
"Fallon Park Elementary","Ms. Nikki Mitchem-Pry","09-12","Roanoke Public Schools","502 19th St SE","540-853-2535","Roanoke","24013","VA"
"Falls Church High","Benjamin Nowak","06-08","Fairfax County Public Schools","7521 Jaguar Trail","703-207-4000","Falls Church","22042","VA"
"Falmouth Elementary","Ms. Sallie B. Johnakin","06-08","Stafford County Public Schools","1000 Forbes St","540-373-7458","Falmouth","22405","VA"
"Fancy Gap Elementary","Dr. Jeanne D. Edwards","09-12","Carroll County Public Schools","63 Winding Ridge Rd","276-728-7504","Fancy Gap","24328","VA"
"Fannie W. Fitzgerald Elementary","George Wright","09-12","Prince William County Public Schools","15500 Benita Fitzgerald Drive","703-583-4195","Woodbridge","22193","VA"
"Farmington Elementary","Mrs. Renee Wootten","06-08","Culpeper County Public Schools","500 Sunset Ln","540-825-0713","Culpeper","22701","VA"
"Farmwell Station Middle","Ms. Sherryl D. Loya","09-12","Loudoun County Public Schools","44281 Gloucester Pkwy","571-252-2320","Ashburn","20147","VA"
