"Division","Subgroup","School","Virginia.On.Time.Graduation.Rate","Completion.Rate"
"Fairfax County Public Schools","Economically Disadvantaged","Edison High",98.6,98.6
"Fairfax County Public Schools","English Learners","Edison High",90.8,90.8
"Fairfax County Public Schools","Female","Edison High",97,97
"Fairfax County Public Schools","Hispanic","Edison High",93.5,93.5
"Fairfax County Public Schools","Male","Edison High",96.5,96.5
"Fairfax County Public Schools","Military Connected","Edison High",100,100
"Fairfax County Public Schools","Multiple Races","Edison High",100,100
"Fairfax County Public Schools","Students with Disabilities","Edison High",98.5,98.5
"Fairfax County Public Schools","White","Edison High",98.5,98.5
"Fairfax County Public Schools","All Students","Fairfax County Adult High",23.5,23.9
"Fairfax County Public Schools","Asian","Fairfax County Adult High",33.3,33.3
"Fairfax County Public Schools","Black","Fairfax County Adult High",53.3,60
"Fairfax County Public Schools","Economically Disadvantaged","Fairfax County Adult High",34,34
"Fairfax County Public Schools","English Learners","Fairfax County Adult High",21.5,21.5
"Fairfax County Public Schools","Female","Fairfax County Adult High",30.2,31.3
"Fairfax County Public Schools","Hispanic","Fairfax County Adult High",18.4,18.4
"Fairfax County Public Schools","Homeless","Fairfax County Adult High",15,15
"Fairfax County Public Schools","Male","Fairfax County Adult High",19,19
"Fairfax County Public Schools","All Students","Fairfax High",95.7,95.7
"Fairfax County Public Schools","Asian","Fairfax High",99.3,99.3
"Fairfax County Public Schools","Black","Fairfax High",97.9,97.9
"Fairfax County Public Schools","Economically Disadvantaged","Fairfax High",89,89
"Fairfax County Public Schools","English Learners","Fairfax High",77.1,77.1
"Fairfax County Public Schools","Female","Fairfax High",96.4,96.4
"Fairfax County Public Schools","Hispanic","Fairfax High",85.2,85.2
"Fairfax County Public Schools","Male","Fairfax High",95,95
"Fairfax County Public Schools","Military Connected","Fairfax High",100,100
"Fairfax County Public Schools","Multiple Races","Fairfax High",100,100
"Fairfax County Public Schools","Students with Disabilities","Fairfax High",95.6,95.6
"Fairfax County Public Schools","White","Fairfax High",98.4,98.4
"Fairfax County Public Schools","All Students","Falls Church High",86,86.2
"Fairfax County Public Schools","Asian","Falls Church High",97.1,97.1
"Fairfax County Public Schools","Black","Falls Church High",100,100
"Fairfax County Public Schools","Economically Disadvantaged","Falls Church High",88.4,88.4
"Fairfax County Public Schools","English Learners","Falls Church High",68.8,68.8
"Fairfax County Public Schools","Female","Falls Church High",88.6,88.6
"Fairfax County Public Schools","Hispanic","Falls Church High",75.8,76.1
"Fairfax County Public Schools","Homeless","Falls Church High",30.8,30.8
"Fairfax County Public Schools","Male","Falls Church High",83.8,84.2
"Fairfax County Public Schools","Multiple Races","Falls Church High",93.3,93.3
"Fairfax County Public Schools","Students with Disabilities","Falls Church High",95.2,96.4
"Fairfax County Public Schools","White","Falls Church High",100,100
"Fairfax County Public Schools","All Students","Hayfield Secondary",96.6,96.8
"Fairfax County Public Schools","Asian","Hayfield Secondary",97.2,97.2
"Fairfax County Public Schools","Black","Hayfield Secondary",95.7,95.7
"Fairfax County Public Schools","Economically Disadvantaged","Hayfield Secondary",92,92
"Fairfax County Public Schools","English Learners","Hayfield Secondary",90.4,90.4
"Fairfax County Public Schools","Female","Hayfield Secondary",96,96.4
"Fairfax County Public Schools","Hispanic","Hayfield Secondary",94.3,94.3
"Fairfax County Public Schools","Male","Hayfield Secondary",97.1,97.1
"Fairfax County Public Schools","Military Connected","Hayfield Secondary",100,100
"Fairfax County Public Schools","Multiple Races","Hayfield Secondary",100,100
"Fairfax County Public Schools","Students with Disabilities","Hayfield Secondary",92,92
"Fairfax County Public Schools","White","Hayfield Secondary",98,98.7
"Fairfax County Public Schools","All Students","Herndon High",85.9,86.1
"Fairfax County Public Schools","Asian","Herndon High",100,100
"Fairfax County Public Schools","Black","Herndon High",97.4,97.4
"Fairfax County Public Schools","Economically Disadvantaged","Herndon High",81.4,81.4
"Fairfax County Public Schools","English Learners","Herndon High",62.4,62.4
"Fairfax County Public Schools","Female","Herndon High",88.4,88.4
"Fairfax County Public Schools","Hispanic","Herndon High",71,71
"Fairfax County Public Schools","Homeless","Herndon High",16.7,16.7
"Fairfax County Public Schools","Male","Herndon High",83.5,83.8
"Fairfax County Public Schools","Multiple Races","Herndon High",100,100
"Fairfax County Public Schools","Students with Disabilities","Herndon High",93.8,95
"Fairfax County Public Schools","White","Herndon High",98.3,98.8
"Fairfax County Public Schools","All Students","Justice High",87.3,87.3
"Fairfax County Public Schools","Asian","Justice High",97.2,97.2
"Fairfax County Public Schools","Black","Justice High",100,100
"Fairfax County Public Schools","Economically Disadvantaged","Justice High",90.7,90.7
"Fairfax County Public Schools","English Learners","Justice High",75.3,75.3
"Fairfax County Public Schools","Female","Justice High",91.2,91.2
"Fairfax County Public Schools","Hispanic","Justice High",78.6,78.6
"Fairfax County Public Schools","Homeless","Justice High",30,30
"Fairfax County Public Schools","Male","Justice High",83.5,83.5
"Fairfax County Public Schools","Multiple Races","Justice High",100,100
"Fairfax County Public Schools","Students with Disabilities","Justice High",93.3,93.3
"Fairfax County Public Schools","White","Justice High",98.3,98.3
"Fairfax County Public Schools","All Students","Lake Braddock Secondary",99,99
"Fairfax County Public Schools","Asian","Lake Braddock Secondary",99.3,99.3
"Fairfax County Public Schools","Black","Lake Braddock Secondary",98,98
"Fairfax County Public Schools","Economically Disadvantaged","Lake Braddock Secondary",98.2,98.2
"Fairfax County Public Schools","English Learners","Lake Braddock Secondary",95.6,95.6
"Fairfax County Public Schools","Female","Lake Braddock Secondary",99.4,99.4
"Fairfax County Public Schools","Hispanic","Lake Braddock Secondary",97.6,97.6
"Fairfax County Public Schools","Male","Lake Braddock Secondary",98.6,98.6
"Fairfax County Public Schools","Military Connected","Lake Braddock Secondary",98.8,98.8
"Fairfax County Public Schools","Multiple Races","Lake Braddock Secondary",100,100
"Fairfax County Public Schools","Students with Disabilities","Lake Braddock Secondary",98,98
"Fairfax County Public Schools","White","Lake Braddock Secondary",99.4,99.4
"Fairfax County Public Schools","All Students","Langley High",99.2,99.2
"Fairfax County Public Schools","Asian","Langley High",99,99
"Fairfax County Public Schools","Economically Disadvantaged","Langley High",95,95
"Fairfax County Public Schools","English Learners","Langley High",94.1,94.1
"Fairfax County Public Schools","Female","Langley High",100,100
"Fairfax County Public Schools","Hispanic","Langley High",95.5,95.5
"Fairfax County Public Schools","Male","Langley High",98.3,98.3
"Fairfax County Public Schools","Multiple Races","Langley High",96.6,96.6
"Fairfax County Public Schools","Students with Disabilities","Langley High",100,100
"Fairfax County Public Schools","White","Langley High",99.7,99.7
"Fairfax County Public Schools","All Students","Lewis High",93.5,93.9
"Fairfax County Public Schools","Asian","Lewis High",99.1,99.1
"Fairfax County Public Schools","Black","Lewis High",97.8,97.8
"Fairfax County Public Schools","Economically Disadvantaged","Lewis High",94.7,95.5
"Fairfax County Public Schools","English Learners","Lewis High",84,84.7
"Fairfax County Public Schools","Female","Lewis High",96.4,96.9
"Fairfax County Public Schools","Hispanic","Lewis High",87.9,88.8
"Fairfax County Public Schools","Male","Lewis High",90.7,91.1
"Fairfax County Public Schools","Multiple Races","Lewis High",100,100
"Fairfax County Public Schools","Students with Disabilities","Lewis High",97.4,97.4
"Fairfax County Public Schools","White","Lewis High",98.4,98.4
"Fairfax County Public Schools","All Students","Madison High",97.3,97.5
"Fairfax County Public Schools","Asian","Madison High",100,100
"Fairfax County Public Schools","Economically Disadvantaged","Madison High",86.6,86.6
"Fairfax County Public Schools","English Learners","Madison High",76.2,76.2
"Fairfax County Public Schools","Female","Madison High",99.2,99.2
"Fairfax County Public Schools","Hispanic","Madison High",84.6,84.6
"Fairfax County Public Schools","Male","Madison High",95.5,95.8
"Fairfax County Public Schools","Military Connected","Madison High",100,100
"Fairfax County Public Schools","Multiple Races","Madison High",100,100
"Fairfax County Public Schools","Students with Disabilities","Madison High",95.5,97
"Fairfax County Public Schools","White","Madison High",98.6,98.9
"Fairfax County Public Schools","All Students","Marshall High",95.3,95.8
"Fairfax County Public Schools","Asian","Marshall High",98.3,99.1
"Fairfax County Public Schools","Black","Marshall High",100,100
"Fairfax County Public Schools","Economically Disadvantaged","Marshall High",90.9,91.9
"Fairfax County Public Schools","English Learners","Marshall High",79.3,80.5
"Fairfax County Public Schools","Female","Marshall High",97,97.4
"Fairfax County Public Schools","Hispanic","Marshall High",83.9,83.9
"Fairfax County Public Schools","Male","Marshall High",93.7,94.4
"Fairfax County Public Schools","Military Connected","Marshall High",100,100
"Fairfax County Public Schools","Multiple Races","Marshall High",94.1,94.1
"Fairfax County Public Schools","Students with Disabilities","Marshall High",98.1,98.1
"Fairfax County Public Schools","White","Marshall High",98.4,99.2
"Fairfax County Public Schools","All Students","McLean High",98.9,98.9
"Fairfax County Public Schools","Asian","McLean High",100,100
"Fairfax County Public Schools","Black","McLean High",95,95
"Fairfax County Public Schools","Economically Disadvantaged","McLean High",100,100
"Fairfax County Public Schools","English Learners","McLean High",90.2,90.2
"Fairfax County Public Schools","Female","McLean High",99.6,99.6
"Fairfax County Public Schools","Hispanic","McLean High",92.4,92.4
"Fairfax County Public Schools","Male","McLean High",98.3,98.3
"Fairfax County Public Schools","Multiple Races","McLean High",100,100
"Fairfax County Public Schools","Students with Disabilities","McLean High",100,100
"Fairfax County Public Schools","White","McLean High",100,100
"Fairfax County Public Schools","All Students","Mount Vernon High",90,90.3
"Fairfax County Public Schools","Asian","Mount Vernon High",100,100
"Fairfax County Public Schools","Black","Mount Vernon High",97.4,97.4
"Fairfax County Public Schools","Economically Disadvantaged","Mount Vernon High",90.5,90.5
"Fairfax County Public Schools","English Learners","Mount Vernon High",75.2,75.2
"Fairfax County Public Schools","Female","Mount Vernon High",92.3,92.8
"Fairfax County Public Schools","Hispanic","Mount Vernon High",80.9,81.4
"Fairfax County Public Schools","Homeless","Mount Vernon High",76.9,76.9
"Fairfax County Public Schools","Male","Mount Vernon High",88.2,88.2
"Fairfax County Public Schools","Military Connected","Mount Vernon High",100,100
"Fairfax County Public Schools","Multiple Races","Mount Vernon High",100,100
"Fairfax County Public Schools","Students with Disabilities","Mount Vernon High",90.4,91.6
"Fairfax County Public Schools","White","Mount Vernon High",100,100
"Fairfax County Public Schools","All Students","Mountain View High",60.2,60.2
"Fairfax County Public Schools","Asian","Mountain View High",75,75
"Fairfax County Public Schools","Black","Mountain View High",61.9,61.9
"Fairfax County Public Schools","Economically Disadvantaged","Mountain View High",55.6,55.6
"Fairfax County Public Schools","English Learners","Mountain View High",52,52
"Fairfax County Public Schools","Female","Mountain View High",57.6,57.6
"Fairfax County Public Schools","Hispanic","Mountain View High",53.1,53.1
"Fairfax County Public Schools","Homeless","Mountain View High",36.4,36.4
"Fairfax County Public Schools","Male","Mountain View High",61.6,61.6
"Fairfax County Public Schools","Students with Disabilities","Mountain View High",68.8,68.8
"Fairfax County Public Schools","White","Mountain View High",70.4,70.4
"Fairfax County Public Schools","All Students","Oakton High",97.9,97.9
"Fairfax County Public Schools","Asian","Oakton High",99.1,99.1
"Fairfax County Public Schools","Black","Oakton High",100,100
"Fairfax County Public Schools","Economically Disadvantaged","Oakton High",93.7,93.7
"Fairfax County Public Schools","English Learners","Oakton High",84.6,84.6
"Fairfax County Public Schools","Female","Oakton High",98.1,98.1
"Fairfax County Public Schools","Hispanic","Oakton High",86.6,86.6
"Fairfax County Public Schools","Male","Oakton High",97.6,97.6
"Fairfax County Public Schools","Multiple Races","Oakton High",100,100
"Fairfax County Public Schools","Students with Disabilities","Oakton High",100,100
"Fairfax County Public Schools","White","Oakton High",99.3,99.3
"Fairfax County Public Schools","All Students","Robinson Secondary",99.6,99.7
"Fairfax County Public Schools","Asian","Robinson Secondary",100,100
"Fairfax County Public Schools","Black","Robinson Secondary",100,100
"Fairfax County Public Schools","Economically Disadvantaged","Robinson Secondary",98.7,98.7
"Fairfax County Public Schools","English Learners","Robinson Secondary",97.4,97.4
"Fairfax County Public Schools","Female","Robinson Secondary",99.4,99.7
"Fairfax County Public Schools","Hispanic","Robinson Secondary",100,100
"Fairfax County Public Schools","Male","Robinson Secondary",99.7,99.7
"Fairfax County Public Schools","Military Connected","Robinson Secondary",100,100
"Fairfax County Public Schools","Multiple Races","Robinson Secondary",100,100
"Fairfax County Public Schools","Students with Disabilities","Robinson Secondary",100,100
"Fairfax County Public Schools","White","Robinson Secondary",99.3,99.5
"Fairfax County Public Schools","All Students","South County High",98.1,98.7
"Fairfax County Public Schools","Asian","South County High",100,100
"Fairfax County Public Schools","Black","South County High",99.1,99.1
"Fairfax County Public Schools","Economically Disadvantaged","South County High",96.5,96.5
"Fairfax County Public Schools","English Learners","South County High",94.5,94.5
"Fairfax County Public Schools","Female","South County High",98.5,99.2
"Fairfax County Public Schools","Hispanic","South County High",96.7,97.8
"Fairfax County Public Schools","Male","South County High",97.8,98.2
"Fairfax County Public Schools","Military Connected","South County High",100,100
"Fairfax County Public Schools","Multiple Races","South County High",100,100
"Fairfax County Public Schools","Students with Disabilities","South County High",96.7,96.7
"Fairfax County Public Schools","White","South County High",97,98
"Fairfax County Public Schools","All Students","South Lakes High",94,94
"Fairfax County Public Schools","Asian","South Lakes High",100,100
"Fairfax County Public Schools","Black","South Lakes High",92.8,92.8
"Fairfax County Public Schools","Economically Disadvantaged","South Lakes High",89.8,89.8
"Fairfax County Public Schools","English Learners","South Lakes High",75,75
"Fairfax County Public Schools","Female","South Lakes High",96.3,96.3
"Fairfax County Public Schools","Hispanic","South Lakes High",81.1,81.1
"Fairfax County Public Schools","Homeless","South Lakes High",54.5,54.5
"Fairfax County Public Schools","Male","South Lakes High",91.8,91.8
"Fairfax County Public Schools","Multiple Races","South Lakes High",97.6,97.6
"Fairfax County Public Schools","Students with Disabilities","South Lakes High",90.5,90.5
"Fairfax County Public Schools","White","South Lakes High",99.3,99.3
"Fairfax County Public Schools","All Students","Thomas Jefferson High for Science and Technology",100,100
"Fairfax County Public Schools","Asian","Thomas Jefferson High for Science and Technology",100,100
"Fairfax County Public Schools","Economically Disadvantaged","Thomas Jefferson High for Science and Technology",100,100
"Fairfax County Public Schools","Female","Thomas Jefferson High for Science and Technology",100,100
"Fairfax County Public Schools","Male","Thomas Jefferson High for Science and Technology",100,100
"Fairfax County Public Schools","Multiple Races","Thomas Jefferson High for Science and Technology",100,100
"Fairfax County Public Schools","White","Thomas Jefferson High for Science and Technology",100,100
"Fairfax County Public Schools","All Students","West Potomac High",93.9,94.2
"Fairfax County Public Schools","Asian","West Potomac High",97.6,97.6
"Fairfax County Public Schools","Black","West Potomac High",94.8,95.7
"Fairfax County Public Schools","Economically Disadvantaged","West Potomac High",92.8,93.2
"Fairfax County Public Schools","English Learners","West Potomac High",81,81
"Fairfax County Public Schools","Female","West Potomac High",97.8,97.8
"Fairfax County Public Schools","Hispanic","West Potomac High",85.7,86.1
"Fairfax County Public Schools","Male","West Potomac High",90.2,90.8
"Fairfax County Public Schools","Multiple Races","West Potomac High",100,100
"Fairfax County Public Schools","Students with Disabilities","West Potomac High",88.9,89.8
"Fairfax County Public Schools","White","West Potomac High",99.6,99.6
"Fairfax County Public Schools","All Students","West Springfield High",98.1,98.1
"Fairfax County Public Schools","Asian","West Springfield High",97.7,97.7
"Fairfax County Public Schools","Black","West Springfield High",98.3,98.3
"Fairfax County Public Schools","Economically Disadvantaged","West Springfield High",93.4,93.4
"Fairfax County Public Schools","English Learners","West Springfield High",96.7,96.7
"Fairfax County Public Schools","Female","West Springfield High",97.2,97.2
"Fairfax County Public Schools","Hispanic","West Springfield High",95.3,95.3
"Fairfax County Public Schools","Male","West Springfield High",98.9,98.9
"Fairfax County Public Schools","Military Connected","West Springfield High",97.4,97.4
"Fairfax County Public Schools","Multiple Races","West Springfield High",100,100
"Fairfax County Public Schools","Students with Disabilities","West Springfield High",98.2,98.2
"Fairfax County Public Schools","White","West Springfield High",98.9,98.9
"Fairfax County Public Schools","All Students","Westfield High",94.5,95
"Fairfax County Public Schools","Asian","Westfield High",98.3,100
"Fairfax County Public Schools","Black","Westfield High",96.5,97.6
"Fairfax County Public Schools","Economically Disadvantaged","Westfield High",92.5,93.7
"Fairfax County Public Schools","English Learners","Westfield High",80.8,80.8
"Fairfax County Public Schools","Female","Westfield High",96.5,97.2
"Fairfax County Public Schools","Hispanic","Westfield High",83.3,83.3
"Fairfax County Public Schools","Male","Westfield High",92.6,92.9
"Fairfax County Public Schools","Multiple Races","Westfield High",95.1,95.1
"Fairfax County Public Schools","Students with Disabilities","Westfield High",91.9,92.9
"Fairfax County Public Schools","White","Westfield High",98.1,98.1
"Fairfax County Public Schools","All Students","Woodson High",97.5,97.9
"Fairfax County Public Schools","Asian","Woodson High",98,98
"Fairfax County Public Schools","Black","Woodson High",100,100
"Fairfax County Public Schools","Economically Disadvantaged","Woodson High",92.9,95.7
"Fairfax County Public Schools","English Learners","Woodson High",87.8,87.8
"Fairfax County Public Schools","Female","Woodson High",98.2,98.6
"Fairfax County Public Schools","Hispanic","Woodson High",90.9,92.4
"Fairfax County Public Schools","Male","Woodson High",96.8,97.2
"Fairfax County Public Schools","Military Connected","Woodson High",100,100
"Fairfax County Public Schools","Multiple Races","Woodson High",97.3,97.3
"Fairfax County Public Schools","Students with Disabilities","Woodson High",96.6,96.6
"Fairfax County Public Schools","White","Woodson High",98.6,98.9
"Falls Church City Public Schools","All Students","Meridian High",95.3,96.4
"Falls Church City Public Schools","Asian","Meridian High",100,100
"Falls Church City Public Schools","Black","Meridian High",90.9,100
"Falls Church City Public Schools","Economically Disadvantaged","Meridian High",77.8,83.3
"Falls Church City Public Schools","English Learners","Meridian High",64.3,71.4
"Falls Church City Public Schools","Female","Meridian High",93.8,94.8
"Falls Church City Public Schools","Hispanic","Meridian High",85.3,88.2
"Falls Church City Public Schools","Male","Meridian High",96.9,97.9
"Falls Church City Public Schools","Military Connected","Meridian High",91.7,91.7
"Falls Church City Public Schools","Multiple Races","Meridian High",100,100
"Falls Church City Public Schools","Students with Disabilities","Meridian High",97,100
"Falls Church City Public Schools","White","Meridian High",97.3,97.3
"Fauquier County Public Schools","All Students","Fauquier High",96,98.6
"Fauquier County Public Schools","Black","Fauquier High",96.8,96.8
"Fauquier County Public Schools","Economically Disadvantaged","Fauquier High",94.2,98.6
"Fauquier County Public Schools","English Learners","Fauquier High",63.6,81.8
"Fauquier County Public Schools","Female","Fauquier High",95.6,98.4
"Fauquier County Public Schools","Hispanic","Fauquier High",95.3,95.3
"Fauquier County Public Schools","Male","Fauquier High",96.5,98.8
"Fauquier County Public Schools","Multiple Races","Fauquier High",76.9,100
"Fauquier County Public Schools","Students with Disabilities","Fauquier High",98,98
"Fauquier County Public Schools","White","Fauquier High",96.9,99.2
"Fauquier County Public Schools","All Students","Kettle Run High",97,97.7
"Fauquier County Public Schools","Black","Kettle Run High",83.3,88.9
"Fauquier County Public Schools","Economically Disadvantaged","Kettle Run High",86.7,88.9
"Fauquier County Public Schools","Female","Kettle Run High",98.6,99.3
"Fauquier County Public Schools","Hispanic","Kettle Run High",96.7,100
"Fauquier County Public Schools","Male","Kettle Run High",95.4,96.1
"Fauquier County Public Schools","Students with Disabilities","Kettle Run High",93,93
"Fauquier County Public Schools","White","Kettle Run High",98.3,98.3
"Fauquier County Public Schools","All Students","Liberty High",93.3,96.7
"Fauquier County Public Schools","Black","Liberty High",100,100
"Fauquier County Public Schools","Economically Disadvantaged","Liberty High",91.2,95.2
"Fauquier County Public Schools","English Learners","Liberty High",66.7,81.5
"Fauquier County Public Schools","Female","Liberty High",95.2,99.4
"Fauquier County Public Schools","Hispanic","Liberty High",91.3,93.8
"Fauquier County Public Schools","Homeless","Liberty High",90,90
"Fauquier County Public Schools","Male","Liberty High",91.4,93.9
"Fauquier County Public Schools","Multiple Races","Liberty High",100,100
"Fauquier County Public Schools","Students with Disabilities","Liberty High",96.7,96.7
"Fauquier County Public Schools","White","Liberty High",92.7,97.1
"Floyd County Public Schools","All Students","Floyd County High",98,98
"Floyd County Public Schools","Economically Disadvantaged","Floyd County High",97.1,97.1
"Floyd County Public Schools","Female","Floyd County High",98.6,98.6
"Floyd County Public Schools","Male","Floyd County High",97.5,97.5
"Floyd County Public Schools","Students with Disabilities","Floyd County High",90,90
"Floyd County Public Schools","White","Floyd County High",97.8,97.8
"Fluvanna County Public Schools","All Students","Fluvanna County High",95.6,95.6
"Fluvanna County Public Schools","Black","Fluvanna County High",89.8,89.8
"Fluvanna County Public Schools","Economically Disadvantaged","Fluvanna County High",90.7,90.7
"Fluvanna County Public Schools","Female","Fluvanna County High",99.3,99.3
"Fluvanna County Public Schools","Male","Fluvanna County High",91.8,91.8
"Fluvanna County Public Schools","Multiple Races","Fluvanna County High",100,100
"Fluvanna County Public Schools","Students with Disabilities","Fluvanna County High",90.5,90.5
"Fluvanna County Public Schools","White","Fluvanna County High",96.4,96.4
"Franklin City Public Schools","All Students","Franklin High",90,90
"Franklin City Public Schools","Black","Franklin High",87.7,87.7
"Franklin City Public Schools","Economically Disadvantaged","Franklin High",87,87
"Franklin City Public Schools","Female","Franklin High",94.1,94.1
"Franklin City Public Schools","Male","Franklin High",86.1,86.1
"Franklin City Public Schools","Students with Disabilities","Franklin High",61.5,61.5
"Franklin County Public Schools","All Students","Franklin County High",93,93
"Franklin County Public Schools","Black","Franklin County High",92.5,92.5
"Franklin County Public Schools","Economically Disadvantaged","Franklin County High",90.8,90.8
"Franklin County Public Schools","English Learners","Franklin County High",72.7,72.7
"Franklin County Public Schools","Female","Franklin County High",94.9,94.9
"Franklin County Public Schools","Foster Care","Franklin County High",70,70
"Franklin County Public Schools","Hispanic","Franklin County High",91.2,91.2
"Franklin County Public Schools","Male","Franklin County High",91.4,91.4
"Franklin County Public Schools","Multiple Races","Franklin County High",94.4,94.4
"Franklin County Public Schools","Students with Disabilities","Franklin County High",86.3,86.3
"Franklin County Public Schools","White","Franklin County High",93.1,93.1
"Frederick County Public Schools","All Students","James Wood High",96.2,96.2
"Frederick County Public Schools","Black","James Wood High",100,100
"Frederick County Public Schools","Economically Disadvantaged","James Wood High",93.6,93.6
"Frederick County Public Schools","Female","James Wood High",97,97
"Frederick County Public Schools","Hispanic","James Wood High",81.8,81.8
"Frederick County Public Schools","Male","James Wood High",95.5,95.5
"Frederick County Public Schools","Students with Disabilities","James Wood High",95.3,95.3
"Frederick County Public Schools","White","James Wood High",97,97
"Frederick County Public Schools","All Students","Millbrook High",89.4,89.4
"Frederick County Public Schools","Black","Millbrook High",85.7,85.7
"Frederick County Public Schools","Economically Disadvantaged","Millbrook High",87.8,87.8
"Frederick County Public Schools","English Learners","Millbrook High",61.2,61.2
"Frederick County Public Schools","Female","Millbrook High",90.4,90.4
"Frederick County Public Schools","Hispanic","Millbrook High",78,78
"Frederick County Public Schools","Male","Millbrook High",88.5,88.5
"Frederick County Public Schools","Multiple Races","Millbrook High",100,100
"Frederick County Public Schools","Students with Disabilities","Millbrook High",87.5,87.5
"Frederick County Public Schools","White","Millbrook High",94.8,94.8
"Frederick County Public Schools","All Students","Sherando High",94.5,94.8
"Frederick County Public Schools","Black","Sherando High",93.8,93.8
"Frederick County Public Schools","Economically Disadvantaged","Sherando High",92.3,93.4
"Frederick County Public Schools","English Learners","Sherando High",64.3,64.3
"Frederick County Public Schools","Female","Sherando High",95.3,95.3
"Frederick County Public Schools","Hispanic","Sherando High",89.7,89.7
"Frederick County Public Schools","Male","Sherando High",93.7,94.3
"Frederick County Public Schools","Multiple Races","Sherando High",86.7,93.3
"Frederick County Public Schools","Students with Disabilities","Sherando High",93,93
"Frederick County Public Schools","White","Sherando High",96.6,96.6
"Fredericksburg City Public Schools","All Students","James Monroe High",83.3,86.1
"Fredericksburg City Public Schools","Asian","James Monroe High",100,100
"Fredericksburg City Public Schools","Black","James Monroe High",88.2,90.2
"Fredericksburg City Public Schools","Economically Disadvantaged","James Monroe High",79.3,82.2
"Fredericksburg City Public Schools","English Learners","James Monroe High",42.9,47.6
"Fredericksburg City Public Schools","Female","James Monroe High",83.4,84.1
"Fredericksburg City Public Schools","Hispanic","James Monroe High",58,62.3
"Fredericksburg City Public Schools","Male","James Monroe High",83.2,88.1
"Fredericksburg City Public Schools","Multiple Races","James Monroe High",83.3,83.3
"Fredericksburg City Public Schools","Students with Disabilities","James Monroe High",86.5,89.2
"Fredericksburg City Public Schools","White","James Monroe High",94.6,97.8
"Galax City Public Schools","All Students","Galax High",90.6,94.8
"Galax City Public Schools","Economically Disadvantaged","Galax High",85,91.7
"Galax City Public Schools","English Learners","Galax High",84.2,84.2
"Galax City Public Schools","Female","Galax High",93.6,95.7
"Galax City Public Schools","Hispanic","Galax High",83.9,87.1
"Galax City Public Schools","Male","Galax High",87.8,93.9
"Galax City Public Schools","White","Galax High",96.3,100
"Giles County Public Schools","All Students","Giles High",88.7,94.4
"Giles County Public Schools","Economically Disadvantaged","Giles High",78.8,90.4
"Giles County Public Schools","Female","Giles High",91.1,94.6
"Giles County Public Schools","Male","Giles High",86.8,94.1
"Giles County Public Schools","Students with Disabilities","Giles High",94.4,94.4
"Giles County Public Schools","White","Giles High",88.8,94.8
"Giles County Public Schools","All Students","Narrows High",95,96.7
"Giles County Public Schools","Economically Disadvantaged","Narrows High",93.5,93.5
"Giles County Public Schools","Female","Narrows High",100,100
"Giles County Public Schools","Male","Narrows High",91.2,94.1
"Giles County Public Schools","White","Narrows High",94.8,96.6
"Gloucester County Public Schools","All Students","Gloucester High",92.7,94.7
"Gloucester County Public Schools","Black","Gloucester High",100,100
"Gloucester County Public Schools","Economically Disadvantaged","Gloucester High",88.6,91.9
"Gloucester County Public Schools","Female","Gloucester High",92.2,94.6
"Gloucester County Public Schools","Hispanic","Gloucester High",91.3,91.3
"Gloucester County Public Schools","Male","Gloucester High",93.1,94.8
"Gloucester County Public Schools","Military Connected","Gloucester High",100,100
"Gloucester County Public Schools","Multiple Races","Gloucester High",85,90
"Gloucester County Public Schools","Students with Disabilities","Gloucester High",86.3,88.2
"Gloucester County Public Schools","White","Gloucester High",92.6,94.8
"Goochland County Public Schools","All Students","Goochland High",98.1,98.1
"Goochland County Public Schools","Black","Goochland High",97.5,97.5
"Goochland County Public Schools","Economically Disadvantaged","Goochland High",89.3,89.3
"Goochland County Public Schools","Female","Goochland High",99.1,99.1
"Goochland County Public Schools","Hispanic","Goochland High",84.6,84.6
"Goochland County Public Schools","Male","Goochland High",97.1,97.1
"Goochland County Public Schools","Students with Disabilities","Goochland High",100,100
"Goochland County Public Schools","White","Goochland High",100,100
"Grayson County Public Schools","All Students","Grayson County High",99.1,100
"Grayson County Public Schools","Economically Disadvantaged","Grayson County High",98.4,100
"Grayson County Public Schools","Female","Grayson County High",100,100
"Grayson County Public Schools","Male","Grayson County High",98.4,100
"Grayson County Public Schools","Students with Disabilities","Grayson County High",100,100
"Grayson County Public Schools","White","Grayson County High",99.1,100
"Greene County Public Schools","All Students","William Monroe High",94.3,94.3
"Greene County Public Schools","Black","William Monroe High",76.9,76.9
"Greene County Public Schools","Economically Disadvantaged","William Monroe High",93.6,93.6
"Greene County Public Schools","Female","William Monroe High",95.8,95.8
"Greene County Public Schools","Hispanic","William Monroe High",90.9,90.9
"Greene County Public Schools","Male","William Monroe High",92.9,92.9
"Greene County Public Schools","Military Connected","William Monroe High",100,100
"Greene County Public Schools","Multiple Races","William Monroe High",100,100
"Greene County Public Schools","Students with Disabilities","William Monroe High",92.3,92.3
"Greene County Public Schools","White","William Monroe High",95.4,95.4
"Greensville County Public Schools","All Students","Greensville County High",94.4,95
"Greensville County Public Schools","Black","Greensville County High",93.6,93.6
"Greensville County Public Schools","Economically Disadvantaged","Greensville County High",96.9,96.9
"Greensville County Public Schools","Female","Greensville County High",96.5,96.5
"Greensville County Public Schools","Male","Greensville County High",91.9,93.2
"Greensville County Public Schools","Students with Disabilities","Greensville County High",96.2,96.2
