"Division","School","Subgroup","Percent.Below.10","Percent.above.10"
"Bedford County Public Schools","Big Island Elementary","Male",90.3,9.7
"Bedford County Public Schools","Big Island Elementary","Multiple Races",92.9,7.1
"Bedford County Public Schools","Big Island Elementary","Students with Disabilities",82.4,17.6
"Bedford County Public Schools","Big Island Elementary","White",89.9,10.1
"Bedford County Public Schools","Boonsboro Elementary","All Students",94.5,5.5
"Bedford County Public Schools","Boonsboro Elementary","American Indian",NA,NA
"Bedford County Public Schools","Boonsboro Elementary","Asian",100,0
"Bedford County Public Schools","Boonsboro Elementary","Black",89.3,10.7
"Bedford County Public Schools","Boonsboro Elementary","Economically Disadvantaged",84.2,15.8
"Bedford County Public Schools","Boonsboro Elementary","English Learners",100,0
"Bedford County Public Schools","Boonsboro Elementary","Female",93.5,6.5
"Bedford County Public Schools","Boonsboro Elementary","Hispanic",94.7,5.3
"Bedford County Public Schools","Boonsboro Elementary","Male",95.4,4.6
"Bedford County Public Schools","Boonsboro Elementary","Multiple Races",73.7,26.3
"Bedford County Public Schools","Boonsboro Elementary","Students with Disabilities",94.4,5.6
"Bedford County Public Schools","Boonsboro Elementary","White",96.5,3.5
"Bedford County Public Schools","Forest Elementary","All Students",97.5,2.5
"Bedford County Public Schools","Forest Elementary","Asian",100,0
"Bedford County Public Schools","Forest Elementary","Black",95,5
"Bedford County Public Schools","Forest Elementary","Economically Disadvantaged",100,0
"Bedford County Public Schools","Forest Elementary","English Learners",100,0
"Bedford County Public Schools","Forest Elementary","Female",96.6,3.4
"Bedford County Public Schools","Forest Elementary","Hispanic",100,0
"Bedford County Public Schools","Forest Elementary","Male",98.4,1.6
"Bedford County Public Schools","Forest Elementary","Multiple Races",100,0
"Bedford County Public Schools","Forest Elementary","Students with Disabilities",93.5,6.5
"Bedford County Public Schools","Forest Elementary","White",97.2,2.8
"Bedford County Public Schools","Forest Middle","All Students",96.1,3.9
"Bedford County Public Schools","Forest Middle","American Indian",NA,NA
"Bedford County Public Schools","Forest Middle","Asian",100,0
"Bedford County Public Schools","Forest Middle","Black",97.5,2.5
"Bedford County Public Schools","Forest Middle","Economically Disadvantaged",92.2,7.8
"Bedford County Public Schools","Forest Middle","English Learners",96.4,3.6
"Bedford County Public Schools","Forest Middle","Female",95.9,4.1
"Bedford County Public Schools","Forest Middle","Hispanic",94.6,5.4
"Bedford County Public Schools","Forest Middle","Male",96.3,3.7
"Bedford County Public Schools","Forest Middle","Multiple Races",97.7,2.3
"Bedford County Public Schools","Forest Middle","Native Hawaiian",NA,NA
"Bedford County Public Schools","Forest Middle","Students with Disabilities",90.8,9.2
"Bedford County Public Schools","Forest Middle","White",95.7,4.3
"Bedford County Public Schools","Goodview Elementary","All Students",94.2,5.8
"Bedford County Public Schools","Goodview Elementary","American Indian",NA,NA
"Bedford County Public Schools","Goodview Elementary","Asian",100,0
"Bedford County Public Schools","Goodview Elementary","Black",88.2,11.8
"Bedford County Public Schools","Goodview Elementary","Economically Disadvantaged",90.6,9.4
"Bedford County Public Schools","Goodview Elementary","English Learners",100,0
"Bedford County Public Schools","Goodview Elementary","Female",93,7
"Bedford County Public Schools","Goodview Elementary","Hispanic",90,10
"Bedford County Public Schools","Goodview Elementary","Homeless",NA,NA
"Bedford County Public Schools","Goodview Elementary","Male",95.3,4.7
"Bedford County Public Schools","Goodview Elementary","Multiple Races",91.7,8.3
"Bedford County Public Schools","Goodview Elementary","Native Hawaiian",NA,NA
"Bedford County Public Schools","Goodview Elementary","Students with Disabilities",96.2,3.8
"Bedford County Public Schools","Goodview Elementary","White",95,5
"Bedford County Public Schools","Huddleston Elementary","All Students",93.9,6.1
"Bedford County Public Schools","Huddleston Elementary","American Indian",NA,NA
"Bedford County Public Schools","Huddleston Elementary","Asian",100,0
"Bedford County Public Schools","Huddleston Elementary","Black",95,5
"Bedford County Public Schools","Huddleston Elementary","Economically Disadvantaged",92.2,7.8
"Bedford County Public Schools","Huddleston Elementary","English Learners",100,0
"Bedford County Public Schools","Huddleston Elementary","Female",96.7,3.3
"Bedford County Public Schools","Huddleston Elementary","Hispanic",100,0
"Bedford County Public Schools","Huddleston Elementary","Homeless",NA,NA
"Bedford County Public Schools","Huddleston Elementary","Male",91.7,8.3
"Bedford County Public Schools","Huddleston Elementary","Multiple Races",100,0
"Bedford County Public Schools","Huddleston Elementary","Native Hawaiian",NA,NA
"Bedford County Public Schools","Huddleston Elementary","Students with Disabilities",83.3,16.7
"Bedford County Public Schools","Huddleston Elementary","White",93.1,6.9
"Bedford County Public Schools","Jefferson Forest High","All Students",94.4,5.6
"Bedford County Public Schools","Jefferson Forest High","American Indian",NA,NA
"Bedford County Public Schools","Jefferson Forest High","Asian",92.5,7.5
"Bedford County Public Schools","Jefferson Forest High","Black",98.8,1.2
"Bedford County Public Schools","Jefferson Forest High","Economically Disadvantaged",85.8,14.2
"Bedford County Public Schools","Jefferson Forest High","English Learners",91.7,8.3
"Bedford County Public Schools","Jefferson Forest High","Female",95.1,4.9
"Bedford County Public Schools","Jefferson Forest High","Hispanic",92.5,7.5
"Bedford County Public Schools","Jefferson Forest High","Homeless",NA,NA
"Bedford County Public Schools","Jefferson Forest High","Male",93.7,6.3
"Bedford County Public Schools","Jefferson Forest High","Multiple Races",95.3,4.7
"Bedford County Public Schools","Jefferson Forest High","Native Hawaiian",NA,NA
"Bedford County Public Schools","Jefferson Forest High","Students with Disabilities",94.2,5.8
"Bedford County Public Schools","Jefferson Forest High","White",94.2,5.8
"Bedford County Public Schools","Liberty High","All Students",90.8,9.2
"Bedford County Public Schools","Liberty High","American Indian",NA,NA
"Bedford County Public Schools","Liberty High","Asian",100,0
"Bedford County Public Schools","Liberty High","Black",92.5,7.5
"Bedford County Public Schools","Liberty High","Economically Disadvantaged",88,12
"Bedford County Public Schools","Liberty High","English Learners",75,25
"Bedford County Public Schools","Liberty High","Female",91.1,8.9
"Bedford County Public Schools","Liberty High","Hispanic",87,13
"Bedford County Public Schools","Liberty High","Homeless",NA,NA
"Bedford County Public Schools","Liberty High","Male",90.5,9.5
"Bedford County Public Schools","Liberty High","Multiple Races",88.6,11.4
"Bedford County Public Schools","Liberty High","Students with Disabilities",86.5,13.5
"Bedford County Public Schools","Liberty High","White",90.7,9.3
"Bedford County Public Schools","Liberty Middle","All Students",90.4,9.6
"Bedford County Public Schools","Liberty Middle","American Indian",NA,NA
"Bedford County Public Schools","Liberty Middle","Asian",100,0
"Bedford County Public Schools","Liberty Middle","Black",93.7,6.3
"Bedford County Public Schools","Liberty Middle","Economically Disadvantaged",87.6,12.4
"Bedford County Public Schools","Liberty Middle","English Learners",100,0
"Bedford County Public Schools","Liberty Middle","Female",90.9,9.1
"Bedford County Public Schools","Liberty Middle","Hispanic",92.3,7.7
"Bedford County Public Schools","Liberty Middle","Homeless",NA,NA
"Bedford County Public Schools","Liberty Middle","Male",89.8,10.2
"Bedford County Public Schools","Liberty Middle","Multiple Races",89.3,10.7
"Bedford County Public Schools","Liberty Middle","Students with Disabilities",91.8,8.2
"Bedford County Public Schools","Liberty Middle","White",89.6,10.4
"Bedford County Public Schools","Moneta Elementary","All Students",93.9,6.1
"Bedford County Public Schools","Moneta Elementary","American Indian",NA,NA
"Bedford County Public Schools","Moneta Elementary","Asian",100,0
"Bedford County Public Schools","Moneta Elementary","Black",91.7,8.3
"Bedford County Public Schools","Moneta Elementary","Economically Disadvantaged",90.7,9.3
"Bedford County Public Schools","Moneta Elementary","English Learners",100,0
"Bedford County Public Schools","Moneta Elementary","Female",92.9,7.1
"Bedford County Public Schools","Moneta Elementary","Hispanic",100,0
"Bedford County Public Schools","Moneta Elementary","Homeless",NA,NA
"Bedford County Public Schools","Moneta Elementary","Male",94.8,5.2
"Bedford County Public Schools","Moneta Elementary","Multiple Races",100,0
"Bedford County Public Schools","Moneta Elementary","Students with Disabilities",86.7,13.3
"Bedford County Public Schools","Moneta Elementary","White",93.2,6.8
"Bedford County Public Schools","Montvale Elementary","All Students",89,11
"Bedford County Public Schools","Montvale Elementary","Black",100,0
"Bedford County Public Schools","Montvale Elementary","Economically Disadvantaged",83.6,16.4
"Bedford County Public Schools","Montvale Elementary","Female",88.1,11.9
"Bedford County Public Schools","Montvale Elementary","Hispanic",100,0
"Bedford County Public Schools","Montvale Elementary","Male",89.6,10.4
"Bedford County Public Schools","Montvale Elementary","Multiple Races",50,50
"Bedford County Public Schools","Montvale Elementary","Students with Disabilities",80,20
"Bedford County Public Schools","Montvale Elementary","White",89.2,10.8
"Bedford County Public Schools","New London Academy Elementary","All Students",94.8,5.2
"Bedford County Public Schools","New London Academy Elementary","American Indian",NA,NA
"Bedford County Public Schools","New London Academy Elementary","Asian",100,0
"Bedford County Public Schools","New London Academy Elementary","Black",91.7,8.3
"Bedford County Public Schools","New London Academy Elementary","Economically Disadvantaged",84.1,15.9
"Bedford County Public Schools","New London Academy Elementary","English Learners",100,0
"Bedford County Public Schools","New London Academy Elementary","Female",93.6,6.4
"Bedford County Public Schools","New London Academy Elementary","Hispanic",91.7,8.3
"Bedford County Public Schools","New London Academy Elementary","Male",96,4
"Bedford County Public Schools","New London Academy Elementary","Multiple Races",100,0
"Bedford County Public Schools","New London Academy Elementary","Native Hawaiian",NA,NA
"Bedford County Public Schools","New London Academy Elementary","Students with Disabilities",82.6,17.4
"Bedford County Public Schools","New London Academy Elementary","White",94.3,5.7
"Bedford County Public Schools","Otter River Elementary","All Students",92.6,7.4
"Bedford County Public Schools","Otter River Elementary","American Indian",NA,NA
"Bedford County Public Schools","Otter River Elementary","Black",87.5,12.5
"Bedford County Public Schools","Otter River Elementary","Economically Disadvantaged",82.8,17.2
"Bedford County Public Schools","Otter River Elementary","English Learners",100,0
"Bedford County Public Schools","Otter River Elementary","Female",90.2,9.8
"Bedford County Public Schools","Otter River Elementary","Hispanic",100,0
"Bedford County Public Schools","Otter River Elementary","Male",94.4,5.6
"Bedford County Public Schools","Otter River Elementary","Multiple Races",80,20
"Bedford County Public Schools","Otter River Elementary","Students with Disabilities",75,25
"Bedford County Public Schools","Otter River Elementary","White",92.9,7.1
"Bedford County Public Schools","Staunton River High","All Students",86.3,13.7
"Bedford County Public Schools","Staunton River High","American Indian",NA,NA
"Bedford County Public Schools","Staunton River High","Asian",100,0
"Bedford County Public Schools","Staunton River High","Black",89.7,10.3
"Bedford County Public Schools","Staunton River High","Economically Disadvantaged",80.7,19.3
"Bedford County Public Schools","Staunton River High","English Learners",72.7,27.3
"Bedford County Public Schools","Staunton River High","Female",84.3,15.7
"Bedford County Public Schools","Staunton River High","Hispanic",85.7,14.3
"Bedford County Public Schools","Staunton River High","Homeless",NA,NA
"Bedford County Public Schools","Staunton River High","Male",88.3,11.7
"Bedford County Public Schools","Staunton River High","Multiple Races",93.9,6.1
"Bedford County Public Schools","Staunton River High","Students with Disabilities",83,17
"Bedford County Public Schools","Staunton River High","White",85.7,14.3
"Bedford County Public Schools","Staunton River Middle","All Students",85.8,14.2
"Bedford County Public Schools","Staunton River Middle","American Indian",NA,NA
"Bedford County Public Schools","Staunton River Middle","Asian",100,0
"Bedford County Public Schools","Staunton River Middle","Black",97.4,2.6
"Bedford County Public Schools","Staunton River Middle","Economically Disadvantaged",79.6,20.4
"Bedford County Public Schools","Staunton River Middle","English Learners",100,0
"Bedford County Public Schools","Staunton River Middle","Female",85,15
"Bedford County Public Schools","Staunton River Middle","Hispanic",95.2,4.8
"Bedford County Public Schools","Staunton River Middle","Homeless",NA,NA
"Bedford County Public Schools","Staunton River Middle","Male",86.5,13.5
"Bedford County Public Schools","Staunton River Middle","Multiple Races",92,8
"Bedford County Public Schools","Staunton River Middle","Students with Disabilities",78,22
"Bedford County Public Schools","Staunton River Middle","White",84.4,15.6
"Bedford County Public Schools","Stewartsville Elementary","All Students",85.2,14.8
"Bedford County Public Schools","Stewartsville Elementary","Black",87.5,12.5
"Bedford County Public Schools","Stewartsville Elementary","Economically Disadvantaged",81.4,18.6
"Bedford County Public Schools","Stewartsville Elementary","English Learners",100,0
"Bedford County Public Schools","Stewartsville Elementary","Female",85,15
"Bedford County Public Schools","Stewartsville Elementary","Hispanic",85.7,14.3
"Bedford County Public Schools","Stewartsville Elementary","Homeless",NA,NA
"Bedford County Public Schools","Stewartsville Elementary","Male",85.5,14.5
"Bedford County Public Schools","Stewartsville Elementary","Multiple Races",66.7,33.3
"Bedford County Public Schools","Stewartsville Elementary","Students with Disabilities",84,16
"Bedford County Public Schools","Stewartsville Elementary","White",85.5,14.5
"Bedford County Public Schools","Thomas Jefferson Elementary","All Students",94.5,5.5
"Bedford County Public Schools","Thomas Jefferson Elementary","American Indian",NA,NA
"Bedford County Public Schools","Thomas Jefferson Elementary","Asian",96.7,3.3
"Bedford County Public Schools","Thomas Jefferson Elementary","Black",97.3,2.7
"Bedford County Public Schools","Thomas Jefferson Elementary","Economically Disadvantaged",89.3,10.7
"Bedford County Public Schools","Thomas Jefferson Elementary","English Learners",100,0
"Bedford County Public Schools","Thomas Jefferson Elementary","Female",92.6,7.4
"Bedford County Public Schools","Thomas Jefferson Elementary","Hispanic",97.1,2.9
"Bedford County Public Schools","Thomas Jefferson Elementary","Male",96.4,3.6
"Bedford County Public Schools","Thomas Jefferson Elementary","Multiple Races",93.9,6.1
"Bedford County Public Schools","Thomas Jefferson Elementary","Students with Disabilities",90.4,9.6
"Bedford County Public Schools","Thomas Jefferson Elementary","White",94,6
"Bland County Public Schools","Bland County Elementary ","All Students",82.8,17.2
"Bland County Public Schools","Bland County Elementary ","American Indian",NA,NA
"Bland County Public Schools","Bland County Elementary ","Black",100,0
"Bland County Public Schools","Bland County Elementary ","Economically Disadvantaged",76.4,23.6
"Bland County Public Schools","Bland County Elementary ","Female",84.8,15.2
"Bland County Public Schools","Bland County Elementary ","Hispanic",60,40
"Bland County Public Schools","Bland County Elementary ","Homeless",NA,NA
"Bland County Public Schools","Bland County Elementary ","Male",81.2,18.8
"Bland County Public Schools","Bland County Elementary ","Multiple Races",62.5,37.5
"Bland County Public Schools","Bland County Elementary ","Students with Disabilities",75.4,24.6
"Bland County Public Schools","Bland County Elementary ","White",83.8,16.2
"Bland County Public Schools","Bland County High","All Students",85.7,14.3
"Bland County Public Schools","Bland County High","American Indian",NA,NA
"Bland County Public Schools","Bland County High","Black",100,0
"Bland County Public Schools","Bland County High","Economically Disadvantaged",78.1,21.9
"Bland County Public Schools","Bland County High","English Learners",100,0
"Bland County Public Schools","Bland County High","Female",84.6,15.4
"Bland County Public Schools","Bland County High","Hispanic",100,0
"Bland County Public Schools","Bland County High","Male",86.6,13.4
"Bland County Public Schools","Bland County High","Multiple Races",100,0
"Bland County Public Schools","Bland County High","Students with Disabilities",85.5,14.5
"Bland County Public Schools","Bland County High","White",85.2,14.8
"Botetourt County Public Schools","Breckinridge Elementary","All Students",92.7,7.3
"Botetourt County Public Schools","Breckinridge Elementary","Asian",100,0
"Botetourt County Public Schools","Breckinridge Elementary","Black",100,0
"Botetourt County Public Schools","Breckinridge Elementary","Economically Disadvantaged",85.5,14.5
"Botetourt County Public Schools","Breckinridge Elementary","English Learners",100,0
"Botetourt County Public Schools","Breckinridge Elementary","Female",92.2,7.8
"Botetourt County Public Schools","Breckinridge Elementary","Hispanic",100,0
"Botetourt County Public Schools","Breckinridge Elementary","Male",93.2,6.8
"Botetourt County Public Schools","Breckinridge Elementary","Multiple Races",90,10
"Botetourt County Public Schools","Breckinridge Elementary","Students with Disabilities",96.6,3.4
"Botetourt County Public Schools","Breckinridge Elementary","White",92.5,7.5
"Botetourt County Public Schools","Buchanan Elementary","All Students",92.7,7.3
"Botetourt County Public Schools","Buchanan Elementary","American Indian",NA,NA
"Botetourt County Public Schools","Buchanan Elementary","Black",100,0
"Botetourt County Public Schools","Buchanan Elementary","Economically Disadvantaged",85.4,14.6
"Botetourt County Public Schools","Buchanan Elementary","English Learners",100,0
"Botetourt County Public Schools","Buchanan Elementary","Female",92,8
"Botetourt County Public Schools","Buchanan Elementary","Hispanic",100,0
"Botetourt County Public Schools","Buchanan Elementary","Male",93.2,6.8
"Botetourt County Public Schools","Buchanan Elementary","Multiple Races",91.7,8.3
"Botetourt County Public Schools","Buchanan Elementary","Students with Disabilities",81.6,18.4
"Botetourt County Public Schools","Buchanan Elementary","White",92.3,7.7
"Botetourt County Public Schools","Central Academy Middle","All Students",93.1,6.9
"Botetourt County Public Schools","Central Academy Middle","Asian",100,0
"Botetourt County Public Schools","Central Academy Middle","Black",100,0
"Botetourt County Public Schools","Central Academy Middle","Economically Disadvantaged",89.5,10.5
"Botetourt County Public Schools","Central Academy Middle","English Learners",100,0
"Botetourt County Public Schools","Central Academy Middle","Female",92.4,7.6
"Botetourt County Public Schools","Central Academy Middle","Hispanic",100,0
"Botetourt County Public Schools","Central Academy Middle","Homeless",NA,NA
"Botetourt County Public Schools","Central Academy Middle","Male",93.6,6.4
"Botetourt County Public Schools","Central Academy Middle","Multiple Races",100,0
"Botetourt County Public Schools","Central Academy Middle","Students with Disabilities",89.4,10.6
"Botetourt County Public Schools","Central Academy Middle","White",92.7,7.3
"Botetourt County Public Schools","Cloverdale Elementary","All Students",98.6,1.4
"Botetourt County Public Schools","Cloverdale Elementary","Asian",100,0
"Botetourt County Public Schools","Cloverdale Elementary","Black",100,0
"Botetourt County Public Schools","Cloverdale Elementary","Economically Disadvantaged",96.2,3.8
"Botetourt County Public Schools","Cloverdale Elementary","English Learners",100,0
"Botetourt County Public Schools","Cloverdale Elementary","Female",98.1,1.9
"Botetourt County Public Schools","Cloverdale Elementary","Hispanic",100,0
"Botetourt County Public Schools","Cloverdale Elementary","Male",99.2,0.8
"Botetourt County Public Schools","Cloverdale Elementary","Multiple Races",100,0
"Botetourt County Public Schools","Cloverdale Elementary","Students with Disabilities",100,0
"Botetourt County Public Schools","Cloverdale Elementary","White",98.3,1.7
"Botetourt County Public Schools","Colonial Elementary","All Students",94.6,5.4
"Botetourt County Public Schools","Colonial Elementary","Black",100,0
"Botetourt County Public Schools","Colonial Elementary","Economically Disadvantaged",88.3,11.7
"Botetourt County Public Schools","Colonial Elementary","English Learners",100,0
"Botetourt County Public Schools","Colonial Elementary","Female",96.2,3.8
"Botetourt County Public Schools","Colonial Elementary","Hispanic",100,0
"Botetourt County Public Schools","Colonial Elementary","Homeless",NA,NA
"Botetourt County Public Schools","Colonial Elementary","Male",93.3,6.7
"Botetourt County Public Schools","Colonial Elementary","Multiple Races",86.2,13.8
"Botetourt County Public Schools","Colonial Elementary","Students with Disabilities",84.1,15.9
"Botetourt County Public Schools","Colonial Elementary","White",95,5
"Botetourt County Public Schools","Eagle Rock Elementary","All Students",93.7,6.3
"Botetourt County Public Schools","Eagle Rock Elementary","Black",50,50
"Botetourt County Public Schools","Eagle Rock Elementary","Economically Disadvantaged",91.4,8.6
"Botetourt County Public Schools","Eagle Rock Elementary","Female",96.3,3.7
"Botetourt County Public Schools","Eagle Rock Elementary","Hispanic",100,0
"Botetourt County Public Schools","Eagle Rock Elementary","Male",90.3,9.7
"Botetourt County Public Schools","Eagle Rock Elementary","Multiple Races",100,0
"Botetourt County Public Schools","Eagle Rock Elementary","Students with Disabilities",94.4,5.6
"Botetourt County Public Schools","Eagle Rock Elementary","White",94.1,5.9
"Botetourt County Public Schools","Greenfield Elementary","All Students",96.5,3.5
"Botetourt County Public Schools","Greenfield Elementary","Asian",100,0
"Botetourt County Public Schools","Greenfield Elementary","Black",100,0
"Botetourt County Public Schools","Greenfield Elementary","Economically Disadvantaged",93.4,6.6
"Botetourt County Public Schools","Greenfield Elementary","English Learners",98,2
"Botetourt County Public Schools","Greenfield Elementary","Female",96.3,3.7
"Botetourt County Public Schools","Greenfield Elementary","Hispanic",94.1,5.9
"Botetourt County Public Schools","Greenfield Elementary","Homeless",NA,NA
"Botetourt County Public Schools","Greenfield Elementary","Male",96.7,3.3
"Botetourt County Public Schools","Greenfield Elementary","Multiple Races",100,0
"Botetourt County Public Schools","Greenfield Elementary","Students with Disabilities",94.4,5.6
"Botetourt County Public Schools","Greenfield Elementary","White",96.7,3.3
"Botetourt County Public Schools","James River High","All Students",91.8,8.2
"Botetourt County Public Schools","James River High","American Indian",NA,NA
"Botetourt County Public Schools","James River High","Asian",100,0
"Botetourt County Public Schools","James River High","Black",75,25
"Botetourt County Public Schools","James River High","Economically Disadvantaged",80.8,19.2
"Botetourt County Public Schools","James River High","English Learners",100,0
"Botetourt County Public Schools","James River High","Female",90.9,9.1
"Botetourt County Public Schools","James River High","Hispanic",83.3,16.7
"Botetourt County Public Schools","James River High","Homeless",NA,NA
"Botetourt County Public Schools","James River High","Male",92.6,7.4
"Botetourt County Public Schools","James River High","Multiple Races",90,10
"Botetourt County Public Schools","James River High","Native Hawaiian",NA,NA
"Botetourt County Public Schools","James River High","Students with Disabilities",82.2,17.8
"Botetourt County Public Schools","James River High","White",92.3,7.7
"Botetourt County Public Schools","Lord Botetourt High","All Students",93,7
"Botetourt County Public Schools","Lord Botetourt High","American Indian",NA,NA
"Botetourt County Public Schools","Lord Botetourt High","Asian",100,0
"Botetourt County Public Schools","Lord Botetourt High","Black",96.2,3.8
"Botetourt County Public Schools","Lord Botetourt High","Economically Disadvantaged",80.1,19.9
"Botetourt County Public Schools","Lord Botetourt High","English Learners",88.9,11.1
"Botetourt County Public Schools","Lord Botetourt High","Female",91.9,8.1
"Botetourt County Public Schools","Lord Botetourt High","Hispanic",89.2,10.8
"Botetourt County Public Schools","Lord Botetourt High","Homeless",NA,NA
"Botetourt County Public Schools","Lord Botetourt High","Male",94,6
"Botetourt County Public Schools","Lord Botetourt High","Multiple Races",92.9,7.1
"Botetourt County Public Schools","Lord Botetourt High","Native Hawaiian",NA,NA
"Botetourt County Public Schools","Lord Botetourt High","Students with Disabilities",90.3,9.7
"Botetourt County Public Schools","Lord Botetourt High","White",93,7
"Botetourt County Public Schools","Read Mountain Middle","All Students",93.5,6.5
"Botetourt County Public Schools","Read Mountain Middle","Asian",100,0
"Botetourt County Public Schools","Read Mountain Middle","Black",100,0
"Botetourt County Public Schools","Read Mountain Middle","Economically Disadvantaged",86.4,13.6
"Botetourt County Public Schools","Read Mountain Middle","English Learners",100,0
"Botetourt County Public Schools","Read Mountain Middle","Female",94.3,5.7
"Botetourt County Public Schools","Read Mountain Middle","Hispanic",95.3,4.7
"Botetourt County Public Schools","Read Mountain Middle","Homeless",NA,NA
"Botetourt County Public Schools","Read Mountain Middle","Male",92.7,7.3
"Botetourt County Public Schools","Read Mountain Middle","Multiple Races",93.9,6.1
"Botetourt County Public Schools","Read Mountain Middle","Students with Disabilities",87.2,12.8
"Botetourt County Public Schools","Read Mountain Middle","White",93,7
"Botetourt County Public Schools","Troutville Elementary","All Students",96.7,3.3
"Botetourt County Public Schools","Troutville Elementary","American Indian",NA,NA
"Botetourt County Public Schools","Troutville Elementary","Asian",100,0
"Botetourt County Public Schools","Troutville Elementary","Black",100,0
"Botetourt County Public Schools","Troutville Elementary","Economically Disadvantaged",94.8,5.2
"Botetourt County Public Schools","Troutville Elementary","Female",95.7,4.3
"Botetourt County Public Schools","Troutville Elementary","Hispanic",85.7,14.3
"Botetourt County Public Schools","Troutville Elementary","Male",97.7,2.3
"Botetourt County Public Schools","Troutville Elementary","Multiple Races",86.7,13.3
"Botetourt County Public Schools","Troutville Elementary","Students with Disabilities",97.6,2.4
"Botetourt County Public Schools","Troutville Elementary","White",97.7,2.3
"Bristol City Public Schools","Highland View Elementary","All Students",81.3,18.7
"Bristol City Public Schools","Highland View Elementary","Black",100,0
"Bristol City Public Schools","Highland View Elementary","Economically Disadvantaged",77.4,22.6
"Bristol City Public Schools","Highland View Elementary","Female",83.5,16.5
"Bristol City Public Schools","Highland View Elementary","Hispanic",66.7,33.3
"Bristol City Public Schools","Highland View Elementary","Homeless",NA,NA
"Bristol City Public Schools","Highland View Elementary","Male",78.7,21.3
"Bristol City Public Schools","Highland View Elementary","Multiple Races",55.6,44.4
"Bristol City Public Schools","Highland View Elementary","Students with Disabilities",75,25
"Bristol City Public Schools","Highland View Elementary","White",83.3,16.7
"Bristol City Public Schools","Joseph Van Pelt Elementary","All Students",76.3,23.7
"Bristol City Public Schools","Joseph Van Pelt Elementary","Asian",100,0
"Bristol City Public Schools","Joseph Van Pelt Elementary","Black",54.5,45.5
"Bristol City Public Schools","Joseph Van Pelt Elementary","Economically Disadvantaged",68.8,31.2
"Bristol City Public Schools","Joseph Van Pelt Elementary","English Learners",80,20
"Bristol City Public Schools","Joseph Van Pelt Elementary","Female",77.2,22.8
"Bristol City Public Schools","Joseph Van Pelt Elementary","Hispanic",84.2,15.8
"Bristol City Public Schools","Joseph Van Pelt Elementary","Homeless",NA,NA
"Bristol City Public Schools","Joseph Van Pelt Elementary","Male",75.5,24.5
"Bristol City Public Schools","Joseph Van Pelt Elementary","Multiple Races",70.2,29.8
"Bristol City Public Schools","Joseph Van Pelt Elementary","Native Hawaiian",NA,NA
"Bristol City Public Schools","Joseph Van Pelt Elementary","Students with Disabilities",73.3,26.7
"Bristol City Public Schools","Joseph Van Pelt Elementary","White",77.5,22.5
"Bristol City Public Schools","Stonewall Jackson Elementary","All Students",90.6,9.4
"Bristol City Public Schools","Stonewall Jackson Elementary","Black",0,100
"Bristol City Public Schools","Stonewall Jackson Elementary","Economically Disadvantaged",89.4,10.6
"Bristol City Public Schools","Stonewall Jackson Elementary","English Learners",100,0
"Bristol City Public Schools","Stonewall Jackson Elementary","Female",93,7
"Bristol City Public Schools","Stonewall Jackson Elementary","Hispanic",84.6,15.4
"Bristol City Public Schools","Stonewall Jackson Elementary","Male",88.1,11.9
"Bristol City Public Schools","Stonewall Jackson Elementary","Multiple Races",75,25
"Bristol City Public Schools","Stonewall Jackson Elementary","Students with Disabilities",84.6,15.4
"Bristol City Public Schools","Stonewall Jackson Elementary","White",92.1,7.9
"Bristol City Public Schools","Virginia High","All Students",79.5,20.5
"Bristol City Public Schools","Virginia High","Asian",66.7,33.3
"Bristol City Public Schools","Virginia High","Black",60.9,39.1
"Bristol City Public Schools","Virginia High","Economically Disadvantaged",70.9,29.1
"Bristol City Public Schools","Virginia High","English Learners",100,0
"Bristol City Public Schools","Virginia High","Female",77.8,22.2
"Bristol City Public Schools","Virginia High","Hispanic",81.8,18.2
"Bristol City Public Schools","Virginia High","Homeless",NA,NA
"Bristol City Public Schools","Virginia High","Male",81.2,18.8
"Bristol City Public Schools","Virginia High","Multiple Races",77.4,22.6
"Bristol City Public Schools","Virginia High","Students with Disabilities",95.7,4.3
"Bristol City Public Schools","Virginia High","White",80.4,19.6
"Bristol City Public Schools","Virginia Middle","All Students",81.6,18.4
"Bristol City Public Schools","Virginia Middle","American Indian",NA,NA
"Bristol City Public Schools","Virginia Middle","Asian",75,25
"Bristol City Public Schools","Virginia Middle","Black",75.6,24.4
"Bristol City Public Schools","Virginia Middle","Economically Disadvantaged",73.3,26.7
"Bristol City Public Schools","Virginia Middle","English Learners",90,10
"Bristol City Public Schools","Virginia Middle","Female",81.1,18.9
"Bristol City Public Schools","Virginia Middle","Hispanic",80,20
"Bristol City Public Schools","Virginia Middle","Homeless",NA,NA
"Bristol City Public Schools","Virginia Middle","Male",82.2,17.8
"Bristol City Public Schools","Virginia Middle","Multiple Races",72.4,27.6
"Bristol City Public Schools","Virginia Middle","Native Hawaiian",NA,NA
"Bristol City Public Schools","Virginia Middle","Students with Disabilities",75.3,24.7
"Bristol City Public Schools","Virginia Middle","White",83,17
"Bristol City Public Schools","Washington-Lee Elementary","All Students",87.1,12.9
"Bristol City Public Schools","Washington-Lee Elementary","Black",92.3,7.7
"Bristol City Public Schools","Washington-Lee Elementary","Economically Disadvantaged",83.5,16.5
"Bristol City Public Schools","Washington-Lee Elementary","English Learners",100,0
